route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12256F4606446:2025-07-02T23:28:40Z,12256,0,40,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12258F4754766:2025-07-02T23:28:40Z,12258,0,41,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000039,OCESN12258F4754767:2025-07-02T23:28:40Z,12258,0,42,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000023,OCESN12259F4535993:2025-07-02T23:28:40Z,12259,1,43,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12259F4535994:2025-07-02T23:28:40Z,12259,1,44,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000041,OCESN12259F4754765:2025-07-02T23:28:40Z,12259,1,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12260F4535982:2025-07-02T23:28:40Z,12260,0,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12260F4535983:2025-07-02T23:28:40Z,12260,0,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000044,OCESN12260F4535984:2025-07-02T23:28:40Z,12260,0,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000045,OCESN12260F4535985:2025-07-02T23:28:40Z,12260,0,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000046,OCESN12260F4535986:2025-07-02T23:28:40Z,12260,0,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12260F4535987:2025-07-02T23:28:40Z,12260,0,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12260F4535988:2025-07-02T23:28:40Z,12260,0,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12260F4535989:2025-07-02T23:28:40Z,12260,0,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12260F4535990:2025-07-02T23:28:40Z,12260,0,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12260F4535991:2025-07-02T23:28:40Z,12260,0,55,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12260F4536560:2025-07-02T23:28:40Z,12260,0,56,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000051,OCESN12260F4625597:2025-07-02T23:28:40Z,12260,0,57,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000052,OCESN12260F4754738:2025-07-02T23:28:40Z,12260,0,58,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000053,OCESN12260F4754739:2025-07-02T23:28:40Z,12260,0,59,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000054,OCESN12261F4224208:2025-07-02T23:28:40Z,12261,1,60,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000055,OCESN12261F4535974:2025-07-02T23:28:40Z,12261,1,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000056,OCESN12261F4535977:2025-07-02T23:28:40Z,12261,1,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000057,OCESN12261F4535978:2025-07-02T23:28:40Z,12261,1,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12261F4535979:2025-07-02T23:28:40Z,12261,1,64,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000058,OCESN12261F4535980:2025-07-02T23:28:40Z,12261,1,65,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000059,OCESN12261F4741100:2025-07-02T23:28:40Z,12261,1,66,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000060,OCESN12261F4754764:2025-07-02T23:28:40Z,12261,1,67,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000061,OCESN12262F4535972:2025-06-17T23:52:01Z,12262,1,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12263F4224445:2025-07-02T23:28:40Z,12263,1,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000062,OCESN12264F4535969:2025-07-02T23:28:40Z,12264,0,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000063,OCESN12264F4535970:2025-07-02T23:28:40Z,12264,0,71,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000064,OCESN12265F4535967:2025-07-02T23:28:40Z,12265,1,72,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000035,OCESN12265F4754802:2025-07-02T23:28:40Z,12265,1,73,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000065,OCESN12266F4535961:2025-07-02T23:28:40Z,12266,0,74,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000066,OCESN12266F4535962:2025-07-02T23:28:40Z,12266,0,75,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000067,OCESN12266F4535963:2025-07-02T23:28:40Z,12266,0,76,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12266F4535964:2025-07-02T23:28:40Z,12266,0,77,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000068,OCESN12266F4535965:2025-07-02T23:28:40Z,12266,0,78,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000069,OCESN12267F3830443:2025-06-15T00:26:56Z,12267,0,79,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000070,OCESN12267F3830446:2025-06-15T23:48:46Z,12267,0,80,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000071,OCESN12267F4535956:2025-06-17T23:52:01Z,12267,0,81,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000072,OCESN12267F4535957:2025-06-17T23:52:01Z,12267,0,82,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000073,OCESN12267F4701633:2025-06-28T23:46:52Z,12267,0,83,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000074,OCESN12267F4754803:2025-07-02T23:28:40Z,12267,0,84,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12268F3891579:2025-07-02T23:28:40Z,12268,0,85,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000075,OCESN12268F4279806:2025-07-02T23:28:40Z,12268,0,86,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000076,OCESN12268F4285918:2025-07-02T23:28:40Z,12268,0,87,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000077,OCESN12268F4535952:2025-07-02T23:28:40Z,12268,0,88,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12268F4535953:2025-07-02T23:28:40Z,12268,0,89,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000078,OCESN12268F4754804:2025-07-02T23:28:40Z,12268,0,90,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,000067,OCESN12269F4535950:2025-06-17T23:52:01Z,12269,0,91,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000079,OCESN12270F4535949:2025-07-02T23:28:40Z,12270,0,92,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000080,OCESN12270F4754805:2025-07-02T23:28:40Z,12270,0,93,
